criterion,splitter,Min_samples_split,Min_samples_leaf,Ccp_alpha,Max_depth,Min_weight_fraction_leaf,Error-
friedman_mse,random,5,2,0.7999999999999999,1000,0.4,0.2253372680992838
friedman_mse,best,100,5,0.5,10000,0.4,0.2253372680992838
poisson,best,5,5,0.5,10000,0.6,0.2253372680992838
absolute_error,best,73,100,0.4,1000,0.6,0.2243166022825047
friedman_mse,best,2,2,0.5,10000,0.3,0.2253372680992838
friedman_mse,best,2,37,0.4,1000,0.2,0.2253372680992838
poisson,best,2,10,0.7999999999999999,100,0.8999999999999999,0.2253372680992838
friedman_mse,random,37,5,0.3,10000,0.2,0.2253372680992838
poisson,random,100,5,0.0,10000,0.7999999999999999,0.1878427182770048
poisson,best,5,73,0.5,1000,0.3,0.2253372680992838
squared_error,random,37,10,0.3,100,0.7,0.2253372680992838
squared_error,random,100,73,0.2,100,0.7,0.2253372680992838
absolute_error,best,5,37,1.0,100,0.5,0.2243166022825047
squared_error,best,5,5,0.8999999999999999,1,0.2,0.2253372680992838
squared_error,random,2,73,0.7999999999999999,1000,0.8999999999999999,0.2253372680992838
squared_error,random,2,2,0.7999999999999999,1000,0.4,0.2253372680992838
squared_error,best,5,37,0.0,10000,0.3,0.1789822868489484
absolute_error,best,2,2,1.0,1000,0.0,0.2243166022825047
absolute_error,random,73,2,0.6,1,0.5,0.2243166022825047
poisson,best,73,10,0.4,100,0.5,0.2253372680992838
poisson,best,5,10,0.5,1000,0.7,0.2253372680992838
friedman_mse,random,2,5,0.1,100,0.8999999999999999,0.2253372680992838
absolute_error,random,100,73,0.8999999999999999,10,0.7999999999999999,0.2243166022825047
friedman_mse,best,5,5,0.8999999999999999,1000,0.7,0.2253372680992838
squared_error,best,100,10,0.5,10,0.1,0.2253372680992838
poisson,best,2,10,1.0,10000,1.0,0.2253372680992838
squared_error,best,5,10,0.6,1000,0.6,0.2253372680992838
absolute_error,random,2,2,0.4,10,0.3,0.2243166022825047
squared_error,random,100,100,0.1,100,0.8999999999999999,0.2253372680992838
absolute_error,random,37,100,0.2,10,0.8999999999999999,0.2243166022825047
poisson,random,2,73,0.1,10000,1.0,0.2253372680992838
poisson,random,100,37,0.4,1,0.7,0.2253372680992838
squared_error,random,5,73,1.0,100,1.0,0.2253372680992838
poisson,random,100,1,0.0,10000,1.0,0.1878427182770048
squared_error,best,5,100,0.1,10,0.3,0.2253372680992838
friedman_mse,best,2,100,0.2,1000,0.7,0.2253372680992838
absolute_error,random,37,2,0.0,10,0.5,0.1844063433996928
absolute_error,best,10,100,0.3,10000,0.6,0.2243166022825047
squared_error,random,100,2,0.5,100,1.0,0.2253372680992838
friedman_mse,random,100,2,0.1,1000,0.0,0.2253372680992838
squared_error,random,37,73,0.7,1000,0.2,0.2253372680992838
squared_error,random,10,10,0.6,10,0.8999999999999999,0.2253372680992838
absolute_error,best,100,5,0.7,1,0.0,0.2243166022825047
poisson,best,10,5,1.0,100,0.6,0.2253372680992838
absolute_error,random,2,37,0.1,100,0.0,0.2243166022825047
poisson,random,5,5,0.1,10000,1.0,0.2253372680992838
friedman_mse,random,5,73,0.3,10000,0.8999999999999999,0.2253372680992838
friedman_mse,best,10,5,0.0,10,0.7,0.1994402966523696
friedman_mse,best,73,2,0.0,10,0.7,0.1943328744774072
friedman_mse,best,73,73,0.0,10,0.2,0.1948071717201478
squared_error,random,2,1,0.5,1000,0.8999999999999999,0.2253372680992838
squared_error,best,100,1,0.5,10000,0.4,0.2253372680992838
poisson,best,2,1,0.6,10000,0.4,0.2253372680992838
squared_error,best,37,2,0.5,10000,0.7,0.2253372680992838
friedman_mse,random,10,73,1.0,10000,0.2,0.2253372680992838
absolute_error,best,10,100,0.7,10000,0.3,0.2243166022825047
friedman_mse,best,2,37,0.5,10,0.4,0.2253372680992838
absolute_error,random,73,100,0.5,10000,0.7,0.2243166022825047
squared_error,best,73,37,0.7,10000,0.4,0.2253372680992838
friedman_mse,best,5,1,0.6,1000,0.1,0.2253372680992838
friedman_mse,best,37,1,0.2,1,0.6,0.2253372680992838
friedman_mse,random,73,2,0.1,1,0.5,0.2253372680992838
friedman_mse,random,100,5,0.7999999999999999,1000,0.0,0.2253372680992838
poisson,random,10,2,0.7999999999999999,1,0.6,0.2253372680992838
poisson,best,10,37,0.7,10000,0.7,0.2253372680992838
friedman_mse,random,10,2,0.1,10000,0.1,0.2253372680992838
absolute_error,random,73,10,0.1,1000,0.5,0.2243166022825047
squared_error,best,10,73,0.7999999999999999,1,1.0,0.2253372680992838
squared_error,random,100,100,0.0,100,0.1,0.2090137197829511
friedman_mse,random,100,10,0.7,1000,0.8999999999999999,0.2253372680992838
poisson,best,2,37,0.0,100,0.7999999999999999,0.184118896752512
poisson,random,73,73,0.7999999999999999,10000,0.5,0.2253372680992838
absolute_error,random,73,10,0.5,10000,0.6,0.2243166022825047
poisson,random,2,10,0.3,1,0.8999999999999999,0.2253372680992838
squared_error,random,5,73,0.2,10000,0.1,0.2253372680992838
friedman_mse,random,37,73,0.3,10,0.6,0.2253372680992838
absolute_error,best,2,2,1.0,100,0.3,0.2243166022825047
absolute_error,random,2,37,0.2,100,0.6,0.2243166022825047
absolute_error,random,5,2,0.5,1000,0.4,0.2243166022825047
absolute_error,random,2,10,0.1,100,0.4,0.2243166022825047
squared_error,best,100,10,0.5,10000,0.5,0.2253372680992838
squared_error,best,100,37,0.7999999999999999,10,0.3,0.2253372680992838
friedman_mse,best,100,37,0.8999999999999999,1,0.3,0.2253372680992838
absolute_error,random,73,100,0.7,1,0.5,0.2243166022825047
absolute_error,random,5,100,0.0,10000,0.1,0.2070637988632108
poisson,best,5,2,0.7,100,0.0,0.2253372680992838
squared_error,random,73,37,0.8999999999999999,100,0.2,0.2253372680992838
friedman_mse,random,10,73,0.0,10,0.7,0.2115520967649432
absolute_error,best,5,73,0.5,100,0.0,0.2243166022825047
absolute_error,random,10,37,0.5,100,0.6,0.2243166022825047
poisson,best,5,2,0.7999999999999999,100,0.8999999999999999,0.2253372680992838
absolute_error,random,2,5,0.6,1,0.5,0.2243166022825047
friedman_mse,random,10,1,0.2,10000,0.1,0.2253372680992838
friedman_mse,best,73,100,0.4,1,1.0,0.2253372680992838
friedman_mse,best,100,10,0.5,10,0.1,0.2253372680992838
squared_error,random,2,10,0.6,1,0.3,0.2253372680992838
friedman_mse,best,2,1,0.7,100,0.2,0.2253372680992838
poisson,random,100,2,0.4,1000,1.0,0.2253372680992838
poisson,best,5,1,0.8999999999999999,100,0.2,0.2253372680992838
poisson,best,10,1,0.8999999999999999,1,0.6,0.2253372680992838
poisson,random,2,100,0.1,1000,0.6,0.2253372680992838
squared_error,random,2,37,0.7,10,0.6,0.2253372680992838
friedman_mse,best,100,73,0.4,10000,0.3,0.2253372680992838
absolute_error,best,5,2,0.6,100,1.0,0.2243166022825047
squared_error,random,100,2,0.7999999999999999,100,0.1,0.2253372680992838
friedman_mse,best,10,1,0.0,100,0.0,0.2168791477424686
friedman_mse,best,10,10,0.4,1,0.6,0.2253372680992838
absolute_error,random,5,37,0.5,10,0.8999999999999999,0.2243166022825047
squared_error,random,37,37,0.0,100,0.7999999999999999,0.1928870190011532
poisson,random,5,5,0.7999999999999999,100,0.1,0.2253372680992838
poisson,random,5,73,0.2,1000,1.0,0.2253372680992838
friedman_mse,best,2,100,0.6,1,0.8999999999999999,0.2253372680992838
absolute_error,random,5,10,0.0,100,0.8999999999999999,0.1886524576693445
poisson,random,10,73,0.1,100,0.6,0.2253372680992838
squared_error,random,100,2,0.3,100,0.1,0.2253372680992838
poisson,best,10,5,0.5,1,0.0,0.2253372680992838
friedman_mse,best,100,2,0.8999999999999999,100,0.7999999999999999,0.2253372680992838
squared_error,random,5,10,0.5,10000,0.2,0.2253372680992838
squared_error,random,2,1,0.4,10,0.6,0.2253372680992838
poisson,random,5,10,0.4,1,0.6,0.2253372680992838
absolute_error,random,73,10,0.4,10000,0.0,0.2243166022825047
absolute_error,best,2,73,0.5,1000,0.5,0.2243166022825047
absolute_error,best,73,1,0.3,10000,0.6,0.2243166022825047
squared_error,best,37,1,0.6,1000,0.8999999999999999,0.2253372680992838
absolute_error,best,2,37,0.7,1,0.2,0.2243166022825047
poisson,best,5,5,0.7,10,0.2,0.2253372680992838
poisson,random,73,37,0.2,1000,0.6,0.2253372680992838
absolute_error,random,37,37,0.0,100,0.7999999999999999,0.1926114178351043
absolute_error,best,73,2,0.5,10,0.5,0.2243166022825047
absolute_error,best,10,2,0.6,10,0.8999999999999999,0.2243166022825047
poisson,random,5,1,0.7,10,0.7999999999999999,0.2253372680992838
poisson,random,2,73,0.4,100,0.6,0.2253372680992838
poisson,best,5,37,0.3,1,0.2,0.2253372680992838
poisson,best,2,37,0.7999999999999999,1000,1.0,0.2253372680992838
squared_error,best,2,2,0.7,1,0.8999999999999999,0.2253372680992838
poisson,random,5,37,0.1,1000,1.0,0.2253372680992838
friedman_mse,best,100,5,0.7999999999999999,10000,0.2,0.2253372680992838
squared_error,random,73,1,0.0,10,0.7,0.1852675377145117
squared_error,random,73,73,0.2,10000,0.4,0.2253372680992838
squared_error,random,5,37,0.8999999999999999,10,0.0,0.2253372680992838
friedman_mse,best,100,10,0.7999999999999999,10,0.4,0.2253372680992838
squared_error,best,2,73,0.0,100,0.2,0.1926105717165581
friedman_mse,random,73,10,0.5,1,0.7,0.2253372680992838
poisson,best,10,73,1.0,1000,1.0,0.2253372680992838
squared_error,random,5,10,0.7999999999999999,10000,0.6,0.2253372680992838
squared_error,random,73,100,0.7999999999999999,10,0.4,0.2253372680992838
absolute_error,best,73,1,0.8999999999999999,1,0.4,0.2243166022825047
poisson,best,5,10,0.6,1000,0.4,0.2253372680992838
friedman_mse,random,37,100,0.5,1,0.3,0.2253372680992838
friedman_mse,random,73,100,0.5,1000,0.1,0.2253372680992838
squared_error,random,2,5,0.0,1000,0.8999999999999999,0.1835394465651983
squared_error,random,5,1,0.0,10,0.5,0.1880467025381191
squared_error,random,10,10,0.2,1,0.7999999999999999,0.2253372680992838
absolute_error,random,2,37,0.4,1,0.6,0.2243166022825047
absolute_error,best,10,5,0.7,10,0.6,0.2243166022825047
poisson,best,73,73,0.5,1000,0.3,0.2253372680992838
friedman_mse,random,37,37,0.6,10,0.6,0.2253372680992838
friedman_mse,random,73,2,0.3,10,0.3,0.2253372680992838
poisson,best,5,2,0.8999999999999999,1,0.6,0.2253372680992838
squared_error,best,5,2,0.5,1,1.0,0.2253372680992838
friedman_mse,best,37,5,0.7,1,0.4,0.2253372680992838
squared_error,best,100,10,0.7999999999999999,100,0.8999999999999999,0.2253372680992838
absolute_error,best,10,2,0.1,100,0.3,0.2243166022825047
poisson,random,73,100,0.7999999999999999,1,0.7,0.2253372680992838
absolute_error,best,37,5,0.5,100,0.6,0.2243166022825047
absolute_error,random,37,37,0.1,1,0.0,0.2243166022825047
absolute_error,best,10,100,0.3,100,0.7,0.2243166022825047
absolute_error,random,37,5,0.3,1000,0.7,0.2243166022825047
poisson,random,10,5,0.2,10000,0.2,0.2253372680992838
squared_error,random,73,10,1.0,1,0.5,0.2253372680992838
friedman_mse,best,10,10,0.6,10,0.7,0.2253372680992838
squared_error,random,5,1,0.2,10000,0.1,0.2253372680992838
poisson,best,5,2,0.5,100,0.8999999999999999,0.2253372680992838
absolute_error,random,2,10,0.7,10,1.0,0.2243166022825047
friedman_mse,random,37,10,0.7999999999999999,1,0.5,0.2253372680992838
squared_error,best,10,5,0.7999999999999999,1000,0.7,0.2253372680992838
poisson,best,73,100,0.7999999999999999,1000,1.0,0.2253372680992838
friedman_mse,random,37,10,0.6,100,0.3,0.2253372680992838
squared_error,best,2,73,0.1,1,0.8999999999999999,0.2253372680992838
friedman_mse,best,37,37,0.7,10,0.8999999999999999,0.2253372680992838
squared_error,best,100,73,0.1,10,0.3,0.2253372680992838
poisson,best,37,73,1.0,10,0.2,0.2253372680992838
absolute_error,random,5,5,0.3,1000,1.0,0.2243166022825047
friedman_mse,random,100,10,0.1,10000,0.7999999999999999,0.2253372680992838
friedman_mse,random,100,73,0.3,10,0.2,0.2253372680992838
poisson,random,2,100,0.6,100,0.8999999999999999,0.2253372680992838
poisson,random,100,2,0.7,10,0.3,0.2253372680992838
absolute_error,random,100,73,0.8999999999999999,10,1.0,0.2243166022825047
absolute_error,best,5,5,0.5,10000,0.8999999999999999,0.2243166022825047
squared_error,random,2,1,0.2,10000,0.6,0.2253372680992838
friedman_mse,best,10,1,0.5,10,0.7,0.2253372680992838
friedman_mse,random,37,5,0.4,100,0.7,0.2253372680992838
squared_error,random,5,2,0.1,10000,0.3,0.2253372680992838
squared_error,best,10,73,0.8999999999999999,1000,1.0,0.2253372680992838
absolute_error,best,2,5,0.1,10,0.2,0.2243166022825047
friedman_mse,best,73,73,0.3,10,1.0,0.2253372680992838
absolute_error,random,37,73,0.8999999999999999,10000,0.8999999999999999,0.2243166022825047
friedman_mse,best,37,100,0.7999999999999999,10,0.8999999999999999,0.2253372680992838
absolute_error,best,100,100,0.5,10000,0.1,0.2243166022825047
squared_error,best,2,5,0.0,10000,0.7999999999999999,0.184514097247689
friedman_mse,best,100,73,0.0,100,1.0,0.1948071717201478
squared_error,random,5,73,0.5,10000,0.8999999999999999,0.2253372680992838
poisson,random,100,5,0.1,10000,0.8999999999999999,0.2253372680992838
squared_error,best,37,5,0.8999999999999999,10,0.8999999999999999,0.2253372680992838
poisson,best,100,10,0.2,10,0.6,0.2253372680992838
absolute_error,best,2,2,0.3,10,0.1,0.2243166022825047
friedman_mse,random,2,37,0.6,1,0.0,0.2253372680992838
friedman_mse,best,73,73,0.0,10000,0.5,0.1948071717201478
friedman_mse,best,73,1,0.6,100,0.7,0.2253372680992838
absolute_error,random,5,10,0.7,1,0.3,0.2243166022825047
absolute_error,random,5,5,0.6,1,1.0,0.2243166022825047
poisson,random,37,73,0.3,1,0.6,0.2253372680992838
poisson,random,100,5,0.7999999999999999,10,0.4,0.2253372680992838
poisson,best,5,5,0.3,1,1.0,0.2253372680992838
friedman_mse,best,37,1,0.7,10000,0.8999999999999999,0.2253372680992838
friedman_mse,best,37,2,0.3,100,0.7999999999999999,0.2253372680992838
poisson,best,73,37,0.4,1,0.5,0.2253372680992838
absolute_error,best,5,10,0.6,10000,0.1,0.2243166022825047
absolute_error,best,100,1,0.5,10,0.0,0.2243166022825047
friedman_mse,random,2,10,0.5,10,0.1,0.2253372680992838
poisson,random,2,100,0.7,10,0.7999999999999999,0.2253372680992838
friedman_mse,best,100,2,0.3,10000,0.3,0.2253372680992838
friedman_mse,random,73,37,0.3,10000,0.2,0.2253372680992838
squared_error,random,73,5,1.0,10000,1.0,0.2253372680992838
squared_error,best,73,5,0.6,10000,0.2,0.2253372680992838
poisson,best,2,100,0.5,10,1.0,0.2253372680992838
poisson,best,73,1,0.7999999999999999,1,0.6,0.2253372680992838
absolute_error,random,10,5,0.2,1,0.6,0.2243166022825047
squared_error,random,37,1,0.4,10,0.0,0.2253372680992838
absolute_error,best,2,73,0.4,100,0.2,0.2243166022825047
poisson,random,5,73,0.4,10,0.7,0.2253372680992838
friedman_mse,random,100,37,0.8999999999999999,10,0.5,0.2253372680992838
squared_error,best,5,100,0.5,10,0.7,0.2253372680992838
squared_error,random,2,10,0.6,10,1.0,0.2253372680992838
friedman_mse,random,73,1,0.3,100,0.7999999999999999,0.2253372680992838
poisson,best,10,100,0.5,10000,0.2,0.2253372680992838
friedman_mse,random,73,2,0.2,1000,0.8999999999999999,0.2253372680992838
absolute_error,best,10,2,0.0,1000,0.0,0.1922397436971802
friedman_mse,best,73,100,0.6,10,0.6,0.2253372680992838
friedman_mse,best,100,100,0.4,100,0.2,0.2253372680992838
poisson,random,37,5,0.7,1,0.2,0.2253372680992838
friedman_mse,best,73,73,0.4,10000,1.0,0.2253372680992838
poisson,best,100,5,0.1,100,0.7999999999999999,0.2253372680992838
poisson,random,5,10,0.7,1,0.2,0.2253372680992838
absolute_error,random,2,2,0.7999999999999999,10000,0.2,0.2243166022825047
friedman_mse,random,5,1,0.7,1000,0.1,0.2253372680992838
poisson,random,5,1,0.6,100,0.7,0.2253372680992838
squared_error,random,37,37,0.0,10,0.3,0.1928870190011532
absolute_error,random,2,73,0.7999999999999999,100,0.6,0.2243166022825047
poisson,random,10,100,0.4,10,0.2,0.2253372680992838
squared_error,best,2,37,0.0,10,0.0,0.1789822868489484
absolute_error,best,37,73,0.7999999999999999,100,0.0,0.2243166022825047
absolute_error,random,100,5,0.2,10,0.0,0.2243166022825047
friedman_mse,best,5,5,0.2,1,0.1,0.2253372680992838
friedman_mse,random,10,10,0.7999999999999999,1000,0.1,0.2253372680992838
squared_error,best,37,100,0.6,1,0.4,0.2253372680992838
poisson,best,37,1,0.3,10,1.0,0.2253372680992838
poisson,best,10,5,0.2,10,0.5,0.2253372680992838
poisson,random,37,10,0.3,1000,1.0,0.2253372680992838
squared_error,best,37,100,1.0,10,0.7999999999999999,0.2253372680992838
poisson,best,2,37,0.3,1000,0.6,0.2253372680992838
friedman_mse,random,10,100,0.3,100,0.1,0.2253372680992838
poisson,best,73,37,1.0,10,0.4,0.2253372680992838
poisson,best,73,37,0.0,1,0.8999999999999999,0.2072883723476958
friedman_mse,best,100,10,0.2,10,0.8999999999999999,0.2253372680992838
poisson,random,100,100,0.1,100,0.1,0.2253372680992838
absolute_error,best,2,2,0.4,10000,0.3,0.2243166022825047
poisson,best,10,5,0.6,100,0.5,0.2253372680992838
friedman_mse,best,73,5,0.8999999999999999,1000,0.6,0.2253372680992838
absolute_error,best,73,5,0.2,10000,0.8999999999999999,0.2243166022825047
squared_error,best,10,5,0.2,100,0.3,0.2253372680992838
absolute_error,best,10,1,0.1,100,0.1,0.2243166022825047
absolute_error,random,10,100,0.4,10,0.8999999999999999,0.2243166022825047
absolute_error,best,37,100,0.7,1,0.2,0.2243166022825047
squared_error,best,73,1,0.2,1,0.2,0.2253372680992838
poisson,random,10,5,1.0,1000,0.6,0.2253372680992838
poisson,best,5,37,0.7,1,1.0,0.2253372680992838
squared_error,random,2,1,0.0,10000,0.8999999999999999,0.2068956301873661
poisson,best,10,5,0.7,10,0.7,0.2253372680992838
friedman_mse,best,37,2,0.6,10,0.7,0.2253372680992838
poisson,random,5,10,0.1,100,0.3,0.2253372680992838
poisson,random,73,1,0.7999999999999999,1000,0.7999999999999999,0.2253372680992838
poisson,random,100,2,0.7,10,0.4,0.2253372680992838
friedman_mse,random,100,5,0.8999999999999999,10,0.2,0.2253372680992838
friedman_mse,random,37,73,0.0,10,0.3,0.2115520967649432
absolute_error,best,37,1,0.0,1000,0.3,0.1841619479061075
friedman_mse,random,2,1,0.7999999999999999,10000,0.7,0.2253372680992838
squared_error,random,37,100,0.7999999999999999,1000,0.8999999999999999,0.2253372680992838
friedman_mse,random,37,37,0.3,100,1.0,0.2253372680992838
absolute_error,random,10,100,0.2,1,0.8999999999999999,0.2243166022825047
absolute_error,best,37,37,0.1,10000,0.6,0.2243166022825047
poisson,best,2,100,0.2,100,0.2,0.2253372680992838
friedman_mse,best,100,37,0.7,10000,0.7999999999999999,0.2253372680992838
poisson,random,73,37,0.3,100,0.5,0.2253372680992838
friedman_mse,best,10,100,0.7999999999999999,100,0.8999999999999999,0.2253372680992838
poisson,random,100,37,0.5,10000,0.5,0.2253372680992838
poisson,best,5,2,0.8999999999999999,1,0.2,0.2253372680992838
absolute_error,best,2,2,0.7999999999999999,100,0.7999999999999999,0.2243166022825047
squared_error,random,37,5,0.0,100,0.7,0.178896609396601
squared_error,best,2,5,0.7999999999999999,10,0.3,0.2253372680992838
absolute_error,random,37,37,0.7,10000,0.7,0.2243166022825047
poisson,best,10,2,0.7999999999999999,1,0.1,0.2253372680992838
squared_error,best,37,5,0.1,1000,0.2,0.2253372680992838
friedman_mse,random,5,37,0.7,10,0.1,0.2253372680992838
friedman_mse,best,73,1,0.0,10000,0.2,0.1943328744774072
poisson,best,37,10,0.2,1,0.6,0.2253372680992838
friedman_mse,random,37,1,0.5,10000,0.6,0.2253372680992838
poisson,random,37,10,1.0,1000,0.7999999999999999,0.2253372680992838
poisson,random,2,100,1.0,10,0.2,0.2253372680992838
squared_error,best,2,10,1.0,1,0.1,0.2253372680992838
squared_error,random,37,1,0.7999999999999999,1000,0.7,0.2253372680992838
poisson,best,37,10,0.2,100,0.7,0.2253372680992838
squared_error,best,37,1,0.1,100,0.7999999999999999,0.2253372680992838
poisson,best,2,10,0.7,10,0.5,0.2253372680992838
poisson,best,100,37,0.5,1,0.0,0.2253372680992838
friedman_mse,random,2,1,0.7,10000,0.5,0.2253372680992838
friedman_mse,best,73,2,1.0,1000,0.7,0.2253372680992838
poisson,best,100,1,0.7999999999999999,1,0.7999999999999999,0.2253372680992838
poisson,random,5,1,0.7999999999999999,10,0.7,0.2253372680992838
poisson,random,100,10,0.6,10,0.3,0.2253372680992838
poisson,random,10,5,0.5,1,0.0,0.2253372680992838
poisson,random,2,100,0.4,10,0.4,0.2253372680992838
poisson,best,100,100,0.2,100,0.2,0.2253372680992838
poisson,best,37,73,0.2,1,0.8999999999999999,0.2253372680992838
squared_error,best,100,10,0.0,100,0.7999999999999999,0.185268962908019
absolute_error,random,37,2,0.6,10,0.7,0.2243166022825047
friedman_mse,best,5,37,0.7999999999999999,1000,0.0,0.2253372680992838
squared_error,best,37,1,0.2,100,1.0,0.2253372680992838
poisson,best,2,1,0.0,10,0.6,0.2054930590452891
friedman_mse,best,100,10,0.2,100,0.8999999999999999,0.2253372680992838
squared_error,best,73,100,0.8999999999999999,10000,1.0,0.2253372680992838
poisson,random,100,100,0.7999999999999999,10000,0.8999999999999999,0.2253372680992838
poisson,random,2,2,0.2,1,1.0,0.2253372680992838
absolute_error,best,10,2,0.1,10,0.0,0.2243166022825047
squared_error,best,2,100,0.5,1000,0.1,0.2253372680992838
absolute_error,best,73,10,0.7999999999999999,1,0.4,0.2243166022825047
absolute_error,best,100,100,0.4,1000,0.0,0.2243166022825047
absolute_error,best,37,100,0.6,10,0.3,0.2243166022825047
poisson,random,10,73,0.0,1,0.6,0.2090137197829511
poisson,best,100,2,0.2,10000,0.8999999999999999,0.2253372680992838
absolute_error,random,73,10,0.7999999999999999,10000,0.8999999999999999,0.2243166022825047
absolute_error,random,2,1,0.5,10,1.0,0.2243166022825047
friedman_mse,random,73,1,0.4,10,0.7999999999999999,0.2253372680992838
poisson,random,2,73,0.6,10,0.0,0.2253372680992838
absolute_error,random,2,1,0.2,1000,0.0,0.2243166022825047
poisson,best,2,37,0.6,100,0.1,0.2253372680992838
absolute_error,best,37,1,0.1,10,0.7,0.2243166022825047
squared_error,best,73,100,0.3,1000,0.3,0.2253372680992838
friedman_mse,best,100,100,0.5,10000,1.0,0.2253372680992838
absolute_error,best,10,1,0.3,10000,0.7,0.2243166022825047
poisson,random,100,73,0.6,100,0.3,0.2253372680992838
squared_error,random,5,10,0.4,1,0.8999999999999999,0.2253372680992838
absolute_error,random,2,1,0.6,10,0.6,0.2243166022825047
squared_error,random,73,100,0.4,1000,0.7999999999999999,0.2253372680992838
squared_error,best,73,73,0.1,1,0.5,0.2253372680992838
friedman_mse,random,73,2,0.1,10000,0.5,0.2253372680992838
absolute_error,best,73,37,0.2,10,0.3,0.2243166022825047
friedman_mse,best,10,73,0.2,1000,0.0,0.2253372680992838
poisson,random,73,37,0.7,1,0.5,0.2253372680992838
squared_error,random,5,100,0.2,1,0.1,0.2253372680992838
absolute_error,random,2,37,0.7,100,0.0,0.2243166022825047
friedman_mse,best,37,1,0.1,10000,0.3,0.2253372680992838
poisson,best,5,37,0.7999999999999999,1,0.6,0.2253372680992838
friedman_mse,best,5,37,0.7999999999999999,100,0.8999999999999999,0.2253372680992838
absolute_error,best,37,2,0.0,100,0.2,0.1841619479061075
friedman_mse,best,37,73,0.7999999999999999,10000,0.7,0.2253372680992838
absolute_error,best,2,100,0.7999999999999999,100,0.7,0.2243166022825047
friedman_mse,random,10,2,0.1,100,0.6,0.2253372680992838
absolute_error,best,37,1,0.4,100,0.5,0.2243166022825047
absolute_error,best,37,73,0.1,100,0.3,0.2243166022825047
squared_error,random,5,1,1.0,10,0.3,0.2253372680992838
squared_error,random,2,10,0.5,100,0.1,0.2253372680992838
squared_error,random,10,10,1.0,10000,0.7999999999999999,0.2253372680992838
squared_error,random,10,37,0.1,1,0.7999999999999999,0.2253372680992838
friedman_mse,random,73,37,0.3,10000,0.8999999999999999,0.2253372680992838
poisson,best,73,2,0.3,10000,0.2,0.2253372680992838
friedman_mse,best,37,5,0.6,1,0.2,0.2253372680992838
squared_error,random,5,1,0.4,100,0.2,0.2253372680992838
poisson,best,10,5,0.8999999999999999,100,1.0,0.2253372680992838
friedman_mse,best,73,2,0.4,1,0.8999999999999999,0.2253372680992838
poisson,random,100,1,0.5,1000,0.6,0.2253372680992838
poisson,best,5,37,0.1,1,0.7999999999999999,0.2253372680992838
poisson,best,2,73,1.0,1000,0.0,0.2253372680992838
squared_error,best,2,2,0.1,100,0.1,0.2253372680992838
poisson,best,5,2,0.5,100,0.1,0.2253372680992838
squared_error,random,5,37,0.0,1,0.1,0.2090137197829511
friedman_mse,best,2,5,0.6,1,0.4,0.2253372680992838
absolute_error,random,100,1,0.6,1,0.2,0.2243166022825047
poisson,best,2,10,0.5,1,0.1,0.2253372680992838
friedman_mse,random,73,100,0.6,1,0.8999999999999999,0.2253372680992838
squared_error,random,100,100,0.3,1,0.7,0.2253372680992838
poisson,random,100,100,0.8999999999999999,10,0.0,0.2253372680992838
squared_error,random,73,2,0.1,1000,0.0,0.2253372680992838
squared_error,random,2,5,0.5,100,0.7999999999999999,0.2253372680992838
friedman_mse,random,2,100,0.6,1000,0.8999999999999999,0.2253372680992838
squared_error,best,2,10,0.4,10000,0.2,0.2253372680992838
poisson,random,10,100,0.3,10,0.0,0.2253372680992838
friedman_mse,best,37,2,0.5,10000,0.2,0.2253372680992838
friedman_mse,random,37,2,0.0,100,0.5,0.1901562924878349
friedman_mse,random,10,37,0.3,100,0.1,0.2253372680992838
squared_error,best,5,1,0.2,1,0.0,0.2253372680992838
absolute_error,random,5,73,0.7,10,0.3,0.2243166022825047
friedman_mse,random,2,100,0.8999999999999999,10,1.0,0.2253372680992838
squared_error,random,37,2,0.1,100,0.7,0.2253372680992838
poisson,random,10,100,0.4,100,0.2,0.2253372680992838
friedman_mse,best,73,73,0.0,1,0.7,0.2073485035469244
friedman_mse,best,73,73,0.2,10,0.8999999999999999,0.2253372680992838
squared_error,best,73,5,1.0,1,1.0,0.2253372680992838
absolute_error,random,73,100,0.0,1000,0.1,0.2070637988632108
squared_error,best,100,1,1.0,1000,0.0,0.2253372680992838
friedman_mse,best,73,1,0.4,1000,0.7999999999999999,0.2253372680992838
absolute_error,random,37,37,1.0,100,0.1,0.2243166022825047
squared_error,best,10,73,0.7999999999999999,10,0.8999999999999999,0.2253372680992838
friedman_mse,random,5,100,0.5,1,0.5,0.2253372680992838
friedman_mse,random,37,5,0.7,1000,0.5,0.2253372680992838
poisson,best,5,100,0.0,1,0.7,0.2072883723476958
friedman_mse,best,2,5,0.1,10000,0.5,0.2253372680992838
poisson,best,73,5,0.7999999999999999,10,0.2,0.2253372680992838
poisson,random,5,73,0.1,1,0.7,0.2253372680992838
friedman_mse,best,100,5,0.1,1000,0.2,0.2253372680992838
friedman_mse,random,10,2,0.7,1000,1.0,0.2253372680992838
friedman_mse,random,2,1,0.0,1,0.5,0.2200341915131463
absolute_error,best,2,37,0.0,1,0.7,0.207774735429801
poisson,best,5,100,0.7999999999999999,100,0.2,0.2253372680992838
friedman_mse,random,5,5,0.4,10,0.7999999999999999,0.2253372680992838
squared_error,random,37,100,0.5,100,0.6,0.2253372680992838
poisson,best,73,73,1.0,1,0.7,0.2253372680992838
